iter	RMSE
0	0.01824881689
1	0.01706864383
2	0.01598556094
3	0.0150487174
4	0.01418903837
5	0.01343241847
6	0.01274007357
7	0.01214377079
8	0.01160378733
9	0.01108382257
10	0.01062949284
11	0.01024064552
12	0.009878908437
13	0.009534042737
14	0.009222101657
15	0.00893353131
16	0.008665982595
17	0.008424681105
18	0.008212889567
19	0.008022107532
20	0.007832660073
21	0.007659201998
22	0.007501877263
23	0.007356717504
24	0.007226971147
25	0.007105421712
26	0.006996027349
27	0.006884637731
28	0.006793063574
29	0.006688340895
30	0.006610708545
31	0.006526821079
32	0.006456101004
33	0.006381752577
34	0.006320240304
35	0.006265064483
36	0.00619510978
37	0.006131902758
38	0.006082995129
39	0.006035267043
40	0.005991634003
41	0.005950193253
42	0.005911958872
43	0.005874209835
44	0.005831494319
45	0.005799891191
46	0.005765835264
47	0.005735481404
48	0.005703874018
49	0.005671754369
50	0.005647257934
51	0.005617383444
52	0.005596882354
53	0.005575502348
54	0.005551734249
55	0.005526790422
56	0.00550706373
57	0.005470878923
58	0.005454712694
59	0.005429062495
60	0.005411692158
61	0.005388405056
62	0.00537152673
63	0.005354684143
64	0.005336143756
65	0.005323860489
66	0.005309019778
67	0.005279897133
68	0.005267894581
69	0.005248197222
70	0.005236871253
71	0.005219226945
72	0.005206707611
73	0.005193111226
74	0.005164261807
75	0.005146403715
76	0.00513633585
77	0.005117856663
78	0.005102218687
79	0.005085487713
80	0.005077223626
81	0.005068697035
82	0.00505668523
83	0.005050688812
84	0.00502836004
85	0.005011728326
86	0.004995471384
87	0.004984050205
88	0.004964504376
89	0.004954060024
90	0.004940655399
91	0.004932219983
92	0.004919617188
93	0.004910589873
94	0.004900085221
95	0.004893291301
96	0.004881301262
97	0.004871877439
98	0.004854289556
99	0.004843585663
100	0.004838089718
101	0.004828272938
102	0.004818663677
103	0.004815000767
104	0.004803257807
105	0.004795081104
106	0.004789219636
107	0.004780108974
108	0.004763146975
109	0.004754323282
110	0.004744304869
111	0.004737686879
112	0.004733944097
113	0.004730545923
114	0.004727150247
115	0.004720766706
116	0.004711044163
